#         t          x          y          z         vx         vy         vz
      0.000    -98.450   -120.030   -127.810    -27.700    174.120     92.490
      0.100   -100.838   -102.193   -118.088    -20.070    182.628    101.940
      0.200   -102.365    -83.490   -107.359    -10.454    191.415    112.654
      0.300   -102.796    -63.908    -95.483      1.831    200.241    124.859
      0.400   -101.817    -43.466    -82.302     17.739    208.589    138.763
      0.500    -99.002    -22.266    -67.643     38.557    215.403    154.422
      0.600    -93.785     -0.565    -51.352     65.785    218.628    171.396
      0.700    -85.476     21.100    -33.382    100.397    214.663    188.007
      0.800    -73.424     41.770    -13.963    140.652    198.736    200.360
      0.900    -57.425     60.137      6.209    179.334    168.610    203.090
      1.000    -38.133     75.077     26.039    206.489    130.185    193.506
      1.100    -16.850     86.233     44.559    219.188     92.931    176.886
      1.200      5.170     93.975     61.325    221.198     61.918    158.450
      1.300     27.087     98.955     76.299    217.147     37.687    141.020
      1.400     48.451    101.792     89.626    210.136     19.057    125.521
      1.500     69.052    102.979    101.503    201.880      4.669    112.020
      1.600     88.809    102.883    112.119    193.255     -6.578    100.295
      1.700    107.706    101.780    121.637    184.695    -15.494     90.071
      1.800    125.761     99.872    130.195    176.401    -22.657     81.093
      1.900    143.004     97.315    137.907    168.461    -28.482     73.146
      2.000    159.472     94.227    144.867    160.901    -33.270     66.057
      2.100    175.203     90.702    151.154    153.717    -37.239     59.684
      2.200    190.234     86.812    156.834    146.892    -40.555     53.916
      2.300    204.598     82.618    161.963    140.401    -43.340     48.661
      2.400    218.329     78.166    166.589    134.219    -45.691     43.847
      2.500    231.456     73.497    170.752    128.319    -47.680     39.411
      2.600    244.006     68.645    174.487    122.678    -49.367     35.306
      2.700    256.003     63.637    177.827    117.272    -50.797     31.488
      2.800    267.471     58.497    180.798    112.082    -52.008     27.925
      2.900    278.430     53.245    183.423    107.088    -53.030     24.585
      3.000    288.898     47.899    185.725    102.273    -53.888     21.446
      3.100    298.892     42.474    187.721     97.621    -54.603     18.485
      3.200    308.429     36.985    189.430     93.120    -55.192     15.684
      3.300    317.523     31.441    190.865     88.757    -55.669     13.027
      3.400    326.187     25.856    192.042     84.519    -56.047     10.501
      3.500    334.433     20.237    192.972     80.396    -56.334      8.094
      3.600    342.272     14.593    193.666     76.380    -56.541      5.795
      3.700    349.714      8.932    194.136     72.462    -56.674      3.595
      3.800    356.768      3.261    194.390     68.633    -56.740      1.485
      3.900    363.445     -2.413    194.437     64.887    -56.745     -0.541
      4.000    369.750     -8.085    194.285     61.217    -56.692     -2.490
      4.100    375.691    -13.749    193.942     57.617    -56.587     -4.369
      4.200    381.276    -19.399    193.415     54.081    -56.432     -6.182
      4.300    386.511    -25.033    192.709     50.604    -56.231     -7.934
      4.400    391.400    -30.643    191.831     47.181    -55.986     -9.629
      4.500    395.949    -36.228    190.786     43.807    -55.699    -11.272
      4.600    400.163    -41.781    189.579     40.478    -55.373    -12.865
      4.700    404.047    -47.300    188.215     37.191    -55.009    -14.413
      4.800    407.603    -52.781    186.699     33.940    -54.608    -15.917
      4.900    410.837    -58.220    185.034     30.724    -54.172    -17.381
      5.000    413.750    -63.614    183.224     27.537    -53.701    -18.807
      5.100    416.345    -68.959    181.274     24.377    -53.196    -20.197
      5.200    418.626    -74.251    179.187     21.241    -52.658    -21.554
      5.300    420.595    -79.489    176.965     18.126    -52.088    -22.878
      5.400    422.252    -84.667    174.612     15.028    -51.484    -24.173
      5.500    423.601    -89.784    172.132     11.945    -50.848    -25.440
      5.600    424.642    -94.835    169.526      8.874    -50.180    -26.679
      5.700    425.376    -99.818    166.797      5.812    -49.479    -27.893
      5.800    425.805   -104.729    163.948      2.757    -48.745    -29.083
      5.900    425.928   -109.565    160.982     -0.294    -47.977    -30.250
      6.000    425.746   -114.323    157.900     -3.345    -47.175    -31.394
