#         t         xy         xz         yz
      0.000      0.990      1.018      1.028
      0.286      0.983      0.974      0.984
      0.571      0.993      1.007      0.995
      0.857      1.012      1.020      0.988
      1.143      0.970      0.974      0.994
      1.429      0.994      1.005      0.977
      1.714      1.066      1.059      0.933
      2.000      1.040      0.989      0.933
      2.286      1.063      1.009      0.900
      2.571      0.949      0.979      0.952
      2.857      0.936      0.921      0.977
      3.143      0.892      0.909      0.976
      3.429      1.088      1.013      0.889
      3.714      1.079      1.008      0.946
      4.000      1.070      0.998      0.886
      4.286      1.190      1.003      0.860
      4.571      1.153      0.964      0.856
      4.857      1.152      0.962      0.858
      5.143      1.137      0.964      0.881
      5.429      1.134      0.958      0.855
      5.714      1.146      0.916      0.861
      6.000      1.161      0.912      0.862
      6.286      1.172      1.004      0.892
      6.571      1.155      0.946      0.877
      6.857      1.146      0.938      0.894
      7.143      1.147      0.962      0.860
      7.429      1.178      0.929      0.851
      7.714      1.137      0.932      0.855
      8.000      1.141      0.930      0.869
      8.286      1.112      0.914      0.874
      8.571      1.149      0.916      0.862
      8.857      1.113      0.912      0.871
      9.143      1.115      0.926      0.886
      9.429      1.100      0.907      0.884
      9.714      1.129      0.910      0.885
