#         t         xy         xz         yz
      0.000      0.994      1.005      1.011
      0.286      0.996      0.998      0.996
      0.571      0.976      1.002      1.007
      0.857      1.001      1.000      0.980
      1.143      0.982      0.989      0.996
      1.429      0.996      1.019      0.988
      1.714      1.011      1.024      0.950
      2.000      1.020      1.009      0.970
      2.286      1.007      0.998      0.940
      2.571      0.926      1.012      1.008
      2.857      1.032      1.015      0.977
      3.143      0.970      1.003      0.991
      3.429      0.965      1.010      0.999
      3.714      0.952      1.011      1.076
      4.000      0.923      1.007      1.036
      4.286      1.019      0.998      1.000
      4.571      1.063      1.005      0.968
      4.857      1.047      1.011      0.992
      5.143      1.055      0.997      0.982
      5.429      1.063      1.021      0.972
      5.714      1.105      0.997      0.973
      6.000      1.112      1.001      0.988
      6.286      1.034      1.028      1.035
      6.571      1.060      1.012      1.023
      6.857      1.051      0.993      1.031
      7.143      1.078      1.029      0.980
      7.429      1.069      1.002      1.012
      7.714      1.066      1.011      0.990
      8.000      1.041      0.988      1.011
      8.286      1.054      0.992      1.001
      8.571      1.069      0.991      1.003
      8.857      1.063      0.998      0.997
      9.143      1.069      1.003      1.002
      9.429      1.085      1.011      0.998
      9.714      1.067      0.974      1.003
